team_long_name,buildUpPlaySpeed,defencePressure,win_rate
Juventus,39,66,0.891891891891892
FC Barcelona,24,66,0.871794871794872
FC Barcelona,42,70,0.871794871794872
SL Benfica,69,60,0.870967741935484
FC Porto,30,30,0.866666666666667
FC Bayern Munich,56,52,0.84375
SL Benfica,30,30,0.833333333333333
PSV,67,50,0.823529411764706
Real Madrid CF,55,65,0.82051282051282
Real Madrid CF,54,68,0.810810810810811
FC Bayern Munich,45,72,0.806451612903226
Sporting CP,57,60,0.806451612903226
FC Porto,52,61,0.8
PSV,67,40,0.8
SL Benfica,65,60,0.8
Celtic,54,46,0.794871794871795
Manchester United,46,40,0.794871794871795
FC Bayern Munich,47,49,0.794117647058823
SL Benfica,70,60,0.794117647058823
FC Porto,50,55,0.793103448275862
Celtic,50,55,0.789473684210526
Celtic,70,60,0.789473684210526
Celtic,70,51,0.775
FC Bayern Munich,37,61,0.771428571428571
Rangers,51,46,0.75609756097561
Juventus,50,35,0.753424657534247
FC Barcelona,36,61,0.75
Real Madrid CF,50,52,0.75
FC Barcelona,35,61,0.746666666666667
Real Madrid CF,50,39,0.746666666666667
Rangers,65,60,0.72972972972973
Atlético Madrid,57,49,0.722222222222222
Manchester City,70,65,0.722222222222222
Paris Saint-Germain,49,57,0.722222222222222
Ajax,31,68,0.714285714285714
Heart of Midlothian,55,49,0.714285714285714
Chelsea,46,42,0.710526315789474
Manchester City,36,42,0.710526315789474
Ajax,30,30,0.705882352941177
Sporting CP,55,60,0.705882352941177
Aberdeen,58,41,0.7
Ajax,35,64,0.7
RSC Anderlecht,52,45,0.7
SL Benfica,55,61,0.7
Napoli,53,47,0.694444444444444
Manchester City,59,42,0.692307692307692
Real Madrid CF,45,49,0.692307692307692
PSV,33,43,0.685714285714286
Celtic,70,50,0.684210526315789
RSC Anderlecht,50,70,0.683333333333333
Borussia Dortmund,71,65,0.67741935483871
FC Porto,70,58,0.67741935483871
FC Twente,30,30,0.676470588235294
Manchester United,65,45,0.675675675675676
Manchester United,70,40,0.675675675675676
Roma,53,49,0.675675675675676
FC Porto,52,58,0.671875
Club Brugge KV,42,51,0.666666666666667
FC Basel,40,60,0.666666666666667
Liverpool,39,59,0.657894736842105
Celtic,54,58,0.65625
SL Benfica,65,55,0.655172413793103
FC Basel,61,47,0.654411764705882
FC Barcelona,43,67,0.648648648648649
Ajax,40,64,0.647058823529412
Borussia Dortmund,70,54,0.647058823529412
Borussia Dortmund,71,58,0.647058823529412
Atlético Madrid,47,52,0.640350877192982
Milan,65,50,0.638888888888889
Borussia Dortmund,73,59,0.636363636363636
FC Bayern Munich,42,39,0.636363636363636
Paris Saint-Germain,49,49,0.636363636363636
Rangers,45,48,0.636363636363636
Feyenoord,38,43,0.628571428571429
VfL Wolfsburg,58,59,0.628571428571429
AZ,45,60,0.625
KAA Gent,50,49,0.625
SC Braga,30,40,0.620689655172414
Juventus,26,23,0.615384615384615
Manchester City,45,50,0.615384615384615
Roma,68,36,0.611111111111111
Legia Warszawa,54,50,0.608695652173913
Ajax,35,68,0.606060606060606
Śląsk Wrocław,47,48,0.606060606060606
Legia Warszawa,69,59,0.603448275862069
AZ,50,50,0.6
KAA Gent,70,45,0.6
Roda JC Kerkrade,43,39,0.6
Arsenal,66,30,0.594594594594595
Napoli,60,45,0.594594594594595
Ajax,40,65,0.59375
Borussia Dortmund,74,60,0.59375
Feyenoord,54,43,0.588235294117647
PSV,30,30,0.588235294117647
Club Brugge KV,67,57,0.586206896551724
FC Twente,55,61,0.580645161290323
Arsenal,30,64,0.578947368421053
Borussia Mönchengladbach,63,49,0.575757575757576
Feyenoord,44,43,0.575757575757576
PSV,54,43,0.575757575757576
Arsenal,59,51,0.575342465753425
Valencia CF,30,55,0.575
FC Basel,46,38,0.571428571428571
Chelsea,70,30,0.567567567567568
Napoli,68,44,0.567567567567568
Tottenham Hotspur,70,50,0.567567567567568
Club Brugge KV,35,60,0.566666666666667
Manchester United,46,42,0.564102564102564
Villarreal CF,64,65,0.564102564102564
Feyenoord,47,48,0.5625
KRC Genk,45,70,0.5625
Inter,55,50,0.56
AZ,55,30,0.558823529411765
Tottenham Hotspur,47,63,0.558823529411765
Everton,58,41,0.552631578947368
Heart of Midlothian,70,60,0.552631578947368
LOSC Lille,34,47,0.552631578947368
Lazio,49,59,0.552631578947368
Milan,45,45,0.552631578947368
Olympique de Marseille,55,65,0.552631578947368
Valencia CF,30,51,0.552631578947368
Milan,45,30,0.55
