player_name,avg_rating,avg_potential,attribute_updates
Lionel Messi,92.1923076923077,95.2307692307692,26
Cristiano Ronaldo,91.28,93.48,25
Franck Ribery,88.4583333333333,89.9166666666667,24
Andres Iniesta,88.32,90.56,25
Zlatan Ibrahimovic,88.2857142857143,90.0476190476191,21
Arjen Robben,87.84,88.6,25
Xavi Hernandez,87.6363636363636,88.3636363636364,22
Wayne Rooney,87.2222222222222,87.9444444444444,36
Iker Casillas,86.9545454545455,88.2272727272727,22
Philipp Lahm,86.7333333333333,87.5333333333333,30
